modelNum,epochs,lr,steps_per_epoch,best_val_acc,test_acc,test_loss,false_pos,false_neg,runtime
0,50,0.0001,5,0.6634615659713745,0.6490384340286255,0.6696995496749878,19,54,10.608131647109985
0,50,0.0001,15,0.6682692170143127,0.6778846383094788,0.6444304585456848,9,58,15.5299973487854
0,50,0.0001,25,0.6778846383094788,0.682692289352417,0.5952037572860718,13,53,18.30885934829712
0,50,0.0001,35,0.6730769276618958,0.6778846383094788,0.5824740529060364,15,52,19.388463973999023
0,50,0.0001,45,0.6586538553237915,0.6490384340286255,0.5835204124450684,23,50,19.677114009857178
0,50,0.0011,5,0.7788461446762085,0.807692289352417,0.48858970403671265,7,33,12.359567165374756
0,50,0.0011,15,0.9278846383094788,0.9230769276618958,0.2382964938879013,10,6,15.67879033088684
0,50,0.0011,25,0.9278846383094788,0.9230769276618958,0.2212652564048767,7,9,16.568225622177124
0,50,0.0011,35,0.9471153616905212,0.932692289352417,0.21470597386360168,10,4,18.824145078659058
0,50,0.0011,45,0.9567307829856873,0.9471153616905212,0.18247614800930023,8,3,20.9710476398468
0,50,0.0021,5,0.8990384340286255,0.8461538553237915,0.38113734126091003,2,30,11.543782711029053
0,50,0.0021,15,0.9230769276618958,0.8653846383094788,0.3310457766056061,2,26,13.19026231765747
0,50,0.0021,25,0.9663461446762085,0.9519230723381042,0.17763370275497437,8,2,16.094104051589966
0,50,0.0021,35,0.9519230723381042,0.9471153616905212,0.20387473702430725,2,9,17.231404304504395
0,50,0.0021,45,0.9471153616905212,0.9278846383094788,0.21297886967658997,4,11,18.741563081741333
0,50,0.0031,5,0.9134615659713745,0.9134615659713745,0.24488133192062378,8,10,14.088054418563843
0,50,0.0031,15,0.9086538553237915,0.879807710647583,0.3606591522693634,3,22,13.479889154434204
0,50,0.0031,25,0.9471153616905212,0.9375,0.2226986587047577,10,3,14.531666040420532
0,50,0.0031,35,0.9471153616905212,0.9278846383094788,0.1788942515850067,7,8,15.164113283157349
0,50,0.0031,45,0.9471153616905212,0.9567307829856873,0.2176245152950287,3,6,16.026047229766846
0,50,0.0041,5,0.9230769276618958,0.9278846383094788,0.2866649031639099,7,8,13.604476928710938
0,50,0.0041,15,0.682692289352417,0.7067307829856873,0.5146335959434509,4,57,13.54021143913269
0,50,0.0041,25,0.932692289352417,0.9230769276618958,0.22737932205200195,11,5,16.429254055023193
0,50,0.0041,35,0.9182692170143127,0.8846153616905212,0.2928214371204376,6,18,16.411678552627563
0,50,0.0041,45,0.9519230723381042,0.8653846383094788,0.2861787676811218,7,21,18.306106090545654
0,50,0.0051,5,0.5144230723381042,0.45192307233810425,0.6954599618911743,0,114,10.757567882537842
0,50,0.0051,15,0.9519230723381042,0.9375,0.21795907616615295,8,5,14.881555795669556
0,50,0.0051,25,0.9567307829856873,0.9471153616905212,0.17168252170085907,6,5,16.218343496322632
0,50,0.0051,35,0.9375,0.942307710647583,0.21768933534622192,9,3,17.896191596984863
0,50,0.0051,45,0.9278846383094788,0.8846153616905212,0.34523704648017883,6,18,18.559335231781006
